draw_date,n1,n2,n3,n4,n5,powerball
2025-05-14,4,10,24,29,53,4
2025-05-12,15,16,41,48,60,21
2025-05-10,5,20,28,39,42,13
2025-05-07,14,15,30,40,59,20
2025-05-05,16,34,40,45,66,19
2025-05-03,10,21,23,35,65,24
2025-04-30,1,2,3,57,59,9
2025-04-28,26,43,51,56,60,24
2025-04-26,1,12,14,18,69,2
2025-04-23,15,44,63,66,69,20
2025-04-21,4,33,45,46,51,25
2025-04-19,7,25,37,39,63,1
2025-04-16,20,24,42,43,49,19
2025-04-14,3,20,30,52,62,1
2025-04-12,16,22,44,45,53,19
2025-04-09,4,29,37,55,67,10
2025-04-07,20,23,48,59,66,4
2025-04-05,4,23,30,46,62,2
2025-04-02,5,17,41,64,69,1
2025-03-31,12,41,44,52,64,25
2025-03-29,7,11,21,53,61,2
2025-03-26,5,20,29,39,53,6
2025-03-24,6,23,35,36,47,12
2025-03-22,6,7,25,46,57,12
2025-03-19,8,11,21,49,59,15
2025-03-17,11,18,23,38,60,9
2025-03-15,12,28,33,36,54,5
2025-03-12,11,13,28,51,58,1
2025-03-10,17,40,47,50,55,6
2025-03-08,2,4,16,23,63,13
2025-03-05,24,28,40,63,65,20
2025-03-03,18,20,50,52,56,20
2025-03-01,2,23,36,44,49,25
2025-02-26,28,48,55,60,62,20
2025-02-24,10,11,34,59,68,14
2025-02-22,7,18,22,50,65,15
2025-02-19,6,21,28,49,60,20
2025-02-17,4,44,47,52,57,9
2025-02-15,3,16,45,54,56,12
2025-02-12,21,32,36,45,49,18
2025-02-10,2,17,18,29,43,3
2025-02-08,23,44,57,60,62,9
2025-02-05,19,27,30,50,62,14
2025-02-03,12,37,47,54,60,17
2025-02-01,23,29,32,49,61,8
2025-01-29,8,12,31,33,38,18
2025-01-27,2,40,47,53,55,20
2025-01-25,8,15,17,53,66,14
2025-01-22,5,6,27,40,49,5
2025-01-20,15,16,32,47,54,6
2025-01-18,14,31,35,64,69,23
2025-01-15,8,41,52,53,58,7
2025-01-13,4,6,16,39,66,9
2025-01-11,3,6,32,37,65,4
2025-01-08,1,20,36,38,43,24
2025-01-06,17,34,46,66,67,14
2025-01-04,26,32,43,54,56,24
2025-01-01,6,12,28,35,66,26
2024-12-30,9,19,33,38,39,1
2024-12-28,6,31,51,54,55,12
2024-12-25,15,26,27,30,35,3
2024-12-23,22,42,44,57,64,18
2024-12-21,1,12,17,21,58,1
2024-12-18,6,15,18,33,49,7
2024-12-16,9,30,33,57,61,17
2024-12-14,12,17,23,52,67,1
2024-12-11,13,44,50,52,54,20
2024-12-09,35,37,40,45,51,24
2024-12-07,1,31,43,55,57,22
2024-12-04,1,23,25,28,61,13
2024-12-02,3,9,26,61,67,13
2024-11-30,4,24,29,39,63,25
2024-11-27,1,6,7,13,40,5
2024-11-25,5,35,45,60,63,12
2024-11-23,12,13,34,44,67,8
2024-11-20,16,30,60,62,64,25
2024-11-18,27,31,41,52,69,26
2024-11-16,21,22,25,32,38,16
2024-11-13,9,20,26,43,58,9
2024-11-11,3,21,24,34,46,9
2024-11-09,11,24,50,56,66,16
2024-11-06,12,17,37,58,62,4
2024-11-02,10,45,48,58,61,2
2024-10-30,13,22,29,43,58,22
2024-10-28,21,27,32,48,67,17
2024-10-26,8,12,40,45,51,15
2024-10-23,2,15,27,29,39,20
2024-10-21,1,25,57,62,64,15
2024-10-19,7,16,19,45,64,25
2024-10-16,4,30,39,44,60,11
2024-10-14,14,18,33,64,67,14
2024-10-12,5,14,20,41,57,6
2024-10-09,25,32,43,53,66,10
2024-10-07,18,30,31,52,63,22
2024-10-05,2,12,46,52,65,3
2024-10-02,1,2,21,37,43,21
2024-09-30,9,11,30,43,69,20
2024-09-28,3,11,13,24,39,22
2024-09-25,2,26,45,46,52,21
2024-09-23,15,21,25,37,45,19
2024-09-21,17,19,21,37,45,14
2024-09-18,1,11,22,47,68,7
2024-09-16,8,9,11,27,31,17
2024-09-14,29,34,38,48,56,16
2024-09-11,10,12,55,65,67,3
2024-09-09,1,16,21,47,60,5
2024-09-07,14,34,37,55,63,20
2024-09-04,7,10,21,33,59,20
2024-09-02,8,42,46,48,53,22
2024-08-31,4,34,35,38,69,19
2024-08-28,5,33,47,50,64,20
2024-08-26,2,4,23,68,69,15
2024-08-24,5,15,21,24,43,17
2024-08-21,27,31,33,38,67,3
2024-08-19,1,2,15,23,28,10
2024-08-17,12,31,43,45,46,22
2024-08-14,8,9,23,29,62,13
2024-08-12,9,22,57,67,68,14
2024-08-10,9,24,33,64,69,9
2024-08-07,6,19,35,47,57,9
2024-08-05,29,42,44,51,54,12
2024-08-03,13,33,40,60,61,20
2024-07-31,23,34,37,50,58,7
2024-07-29,11,27,30,33,44,16
2024-07-27,3,31,37,40,64,17
2024-07-24,16,42,59,63,68,13
2024-07-22,31,36,56,58,69,20
2024-07-20,18,25,31,40,57,4
2024-07-17,24,27,32,47,66,26
2024-07-15,9,31,39,40,45,23
2024-07-13,9,55,59,66,69,21
2024-07-10,7,11,12,27,46,26
2024-07-08,20,22,31,33,45,1
2024-07-06,5,32,35,39,49,21
2024-07-03,2,26,33,55,57,22
2024-07-01,5,9,32,39,55,9
2024-06-29,26,51,54,61,69,25
2024-06-26,4,9,36,47,56,7
2024-06-24,5,6,36,53,69,8
2024-06-22,4,5,15,32,62,21
2024-06-19,4,27,44,50,64,7
2024-06-17,30,48,53,58,66,9
2024-06-15,4,36,48,54,56,2
2024-06-12,19,30,31,61,62,21
2024-06-10,3,10,33,58,59,9
2024-06-08,8,38,52,54,64,15
2024-06-05,8,44,45,51,69,12
2024-06-03,19,29,35,36,45,16
2024-06-01,28,38,52,54,68,8
2024-05-29,17,34,56,60,61,9
2024-05-27,9,30,39,49,59,21
2024-05-25,6,33,35,36,64,24
2024-05-22,5,16,18,26,67,4
2024-05-20,1,7,48,64,68,5
2024-05-18,19,36,37,42,59,19
2024-05-15,19,42,45,55,69,6
2024-05-13,5,14,29,38,66,1
2024-05-11,3,6,39,49,67,21
2024-05-08,7,41,43,44,51,5
2024-05-06,7,23,24,56,60,25
2024-05-04,14,20,23,53,69,4
2024-05-01,1,11,19,21,68,15
2024-04-29,11,38,47,67,69,14
2024-04-27,9,30,53,55,62,23
2024-04-24,2,20,22,26,47,21
2024-04-22,12,16,33,39,52,1
2024-04-20,4,35,41,44,58,25
2024-04-17,24,29,44,47,54,2
2024-04-15,7,16,41,56,61,23
2024-04-13,7,33,40,43,69,10
2024-04-10,6,7,12,24,36,15
